               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.023695,            0.010784,            0.010398,             0.78231,             0.66928,             0.65649,             0.43945,            0.026103,            0.017376,            0.015174,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025033,            0.011133,            0.010951,             0.72946,             0.66229,             0.66954,             0.44484,            0.026661,            0.017119,            0.015278,            0.005446,            0.005446,            0.005446
                  94,            0.025729,            0.010687,            0.011298,             0.77624,             0.63145,             0.68085,             0.44856,             0.02709,            0.017448,             0.01496,           0.0053965,           0.0053965,           0.0053965
                  95,             0.02343,            0.011172,            0.010639,             0.79931,             0.61502,             0.66079,             0.45805,            0.025386,            0.018815,            0.014735,            0.005347,            0.005347,            0.005347
                  96,            0.024013,            0.010138,            0.011089,             0.85308,             0.57244,              0.6496,             0.43717,            0.026436,            0.017977,            0.014473,           0.0052975,           0.0052975,           0.0052975
                  97,            0.023593,            0.010413,            0.010531,             0.82943,             0.56565,             0.62947,             0.41362,            0.026302,            0.017482,            0.016133,            0.005248,            0.005248,            0.005248
                  98,            0.023705,             0.01042,            0.011186,             0.80345,              0.6186,             0.67498,             0.46117,            0.025532,            0.016961,            0.014653,           0.0051985,           0.0051985,           0.0051985
                  99,            0.023788,            0.010885,             0.01035,             0.90863,             0.51633,             0.64257,             0.42069,            0.026925,            0.017836,            0.016097,            0.005149,            0.005149,            0.005149
                 100,            0.022786,            0.010025,            0.010384,             0.87827,             0.57351,             0.65313,             0.45274,            0.025687,            0.017527,            0.014998,           0.0050995,           0.0050995,           0.0050995
                 101,             0.02138,           0.0098384,            0.010244,             0.87257,             0.57552,             0.64579,             0.43622,            0.025935,            0.017644,            0.014938,             0.00505,             0.00505,             0.00505
                 102,            0.023702,            0.010642,            0.009983,             0.83239,             0.63092,             0.64891,             0.42288,             0.02723,            0.017701,            0.013961,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024956,            0.010798,            0.011104,              0.8279,             0.65835,             0.66499,             0.44424,            0.025398,            0.016725,            0.014051,            0.004951,            0.004951,            0.004951
                 104,            0.023096,            0.010334,           0.0099378,             0.87792,              0.6423,             0.67377,             0.45133,            0.026338,            0.017213,            0.014101,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024032,            0.010739,           0.0095585,             0.87154,             0.62729,             0.65426,             0.43357,            0.026518,            0.017548,            0.014422,            0.004852,            0.004852,            0.004852
                 106,             0.02352,            0.010212,           0.0099799,             0.89654,             0.60489,             0.66059,             0.44883,            0.025536,            0.017953,            0.014338,           0.0048025,           0.0048025,           0.0048025
                 107,            0.022975,            0.010181,            0.009641,             0.85285,             0.62351,             0.66085,             0.45675,            0.026088,            0.017856,            0.014682,            0.004753,            0.004753,            0.004753
                 108,            0.021936,            0.010069,            0.009368,             0.84872,             0.63351,             0.67096,             0.45085,            0.025504,             0.01775,            0.014641,           0.0047035,           0.0047035,           0.0047035
                 109,            0.021786,           0.0099179,           0.0098509,             0.87807,             0.61489,              0.6654,             0.45253,            0.026293,            0.018843,            0.014987,            0.004654,            0.004654,            0.004654
                 110,            0.023039,           0.0097103,           0.0097772,             0.73102,             0.64266,             0.66634,             0.42377,            0.026339,            0.017793,            0.015163,           0.0046045,           0.0046045,           0.0046045
                 111,            0.022207,            0.010306,           0.0095079,             0.85915,             0.61685,             0.64241,             0.44654,             0.02552,            0.017887,            0.015001,            0.004555,            0.004555,            0.004555
                 112,            0.020067,           0.0098877,           0.0094129,             0.85336,             0.60464,             0.67676,             0.45791,            0.025513,            0.018152,            0.014072,           0.0045055,           0.0045055,           0.0045055
                 113,            0.021535,           0.0099799,            0.009342,             0.85898,             0.60972,              0.6783,             0.46577,            0.025166,            0.017726,            0.014055,            0.004456,            0.004456,            0.004456
                 114,            0.023316,            0.010128,           0.0092734,             0.84545,             0.65492,             0.68691,             0.45624,            0.026026,            0.017599,             0.01417,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022659,            0.010434,           0.0091457,             0.77152,             0.66591,              0.7006,             0.47971,              0.0251,            0.017648,            0.014147,            0.004357,            0.004357,            0.004357
                 116,            0.021968,            0.010151,            0.008983,             0.85002,              0.6553,             0.69474,             0.47351,            0.025795,            0.017536,            0.013682,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020109,           0.0093968,           0.0085568,             0.72908,             0.65372,              0.6777,             0.45436,            0.025588,            0.017774,            0.014197,            0.004258,            0.004258,            0.004258
                 118,            0.022478,            0.010475,           0.0090647,             0.84753,             0.66621,             0.69756,             0.47603,            0.025463,             0.01777,            0.013852,           0.0042085,           0.0042085,           0.0042085
                 119,            0.022195,           0.0097815,           0.0087939,             0.83814,             0.65412,             0.70691,             0.47844,            0.025243,            0.017088,            0.013253,            0.004159,            0.004159,            0.004159
                 120,             0.01991,            0.010132,           0.0094384,             0.71338,             0.70288,             0.71874,             0.46869,            0.026164,            0.017329,            0.013177,           0.0041095,           0.0041095,           0.0041095
                 121,            0.021784,           0.0098827,           0.0084635,             0.87887,             0.66043,             0.70478,             0.46771,            0.026364,            0.017936,             0.01318,             0.00406,             0.00406,             0.00406
                 122,            0.021848,           0.0097039,           0.0083579,             0.87592,             0.63343,               0.678,             0.47594,            0.025234,            0.017406,            0.013941,           0.0040105,           0.0040105,           0.0040105
